Year,"[0, 0.16666666666666666]","[0.16666666666666666, 0.33333333333333331]","[0.33333333333333331, 0.5]","[0.5, 0.66666666666666663]","[0.66666666666666663, 0.83333333333333326]","[0.83333333333333326, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[5, 6]","[6, 7]","[7, 8]","[8, 9]","[9, 10]","[10, 11]","[11, 12]","[12, 13]","[13, 15]","[15, 18]","[18, 21]","[21, 25]","[25, 35]","[35, 45]","[45, 55]","[55, 65]","[65, 100]"
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,2609.4115,3614.87475,3200.15815,3160.9666,6362.59275,7077.00475,5545.96575,5545.96575,3120.13525
1962,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,2609.4115,3614.87475,3200.15815,3160.9666,6362.59275,7077.00475,5545.96575,5545.96575,3120.13525
1963,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,2609.4115,3614.87475,3200.15815,3160.9666,6362.59275,7077.00475,5545.96575,5545.96575,3120.13525
1964,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,217.4509583,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,1304.70575,2609.4115,3614.87475,3200.15815,3160.9666,6362.59275,7077.00475,5545.96575,5545.96575,3120.13525
