Year,"[0, 0.16666666666666666]","[0.16666666666666666, 0.33333333333333331]","[0.33333333333333331, 0.5]","[0.5, 0.66666666666666663]","[0.66666666666666663, 0.83333333333333326]","[0.83333333333333326, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[5, 6]","[6, 7]","[7, 8]","[8, 9]","[9, 10]","[10, 11]","[11, 12]","[12, 13]","[13, 15]","[15, 18]","[18, 21]","[21, 25]","[25, 35]","[35, 45]","[45, 55]","[55, 65]","[65, 100]"
1955,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1956,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1957,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1958,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1959,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1960,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1961,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1962,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1963,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
1964,0.01925,0.01925,0.01925,0.01925,0.01925,0.01925,0.00085,0.00085,0.00085,0.00085,0.0004,0.0004,0.0004,0.0004,0.0004,0.00035,0.00035,0.00035,0.00035,0.0008,0.000832779,0.0009,0.0008235,0.001714,0.004704,0.012937,0.060941925
