Year,"[0, 0.16666666666666666]","[0.16666666666666666, 0.33333333333333331]","[0.33333333333333331, 0.5]","[0.5, 0.66666666666666663]","[0.66666666666666663, 0.83333333333333326]","[0.83333333333333326, 1]","[1, 2]","[2, 3]","[3, 4]","[4, 5]","[5, 6]","[6, 7]","[7, 8]","[8, 9]","[9, 10]","[10, 11]","[11, 12]","[12, 13]","[13, 15]","[15, 18]","[18, 21]","[21, 25]","[25, 35]","[35, 45]","[45, 55]","[55, 65]","[65, 100]"
1955,8.865281746666666,8.865281746666666,8.865281746666666,8.865281746666666,8.865281746666666,8.865281746666666,47.486927375,47.486927375,47.486927375,47.486927375,37.573109599999995,37.573109599999995,37.573109599999995,37.573109599999995,37.573109599999995,34.6828704,34.6828704,34.6828704,69.3657408,79.11707999999999,79.07227999999999,105.31024,250.92079999999999,219.48,192.53379999999999,113.602,81.73400899999999
1956,9.17258135,9.17258135,9.17258135,9.17258135,9.17258135,9.17258135,48.179602975,48.179602975,48.179602975,48.179602975,40.359436,40.359436,40.359436,40.359436,40.359436,37.254864,37.254864,37.254864,74.509728,83.057592,82.578328,108.82639999999999,258.61922000000004,226.69425999999999,203.9599,122.0435,86.6859638
1957,9.452714285,9.452714285,9.452714285,9.452714285,9.452714285,9.452714285,49.357548575,49.357548575,49.357548575,49.357548575,43.6604896,43.6604896,43.6604896,43.6604896,43.6604896,40.3019904,40.3019904,40.3019904,80.6039808,87.85142400000001,86.894192,113.306304,268.58047999999997,235.97312000000002,217.78824,132.08848,92.6487312
1958,9.209666666666667,9.209666666666667,9.209666666666667,9.209666666666667,9.209666666666667,9.209666666666667,49.67017,49.67017,49.67017,49.67017,45.991608,45.991608,45.991608,45.991608,45.991608,42.45379200000001,42.45379200000001,42.45379200000001,84.90758400000001,90.56769600000001,89.09608,114.870464,271.3926,238.87288,226.14283999999998,138.98068,96.407718
1959,9.502333333333333,9.502333333333333,9.502333333333333,9.502333333333333,9.502333333333333,9.502333333333333,49.13854,49.13854,49.13854,49.13854,48.4191136,48.4191136,48.4191136,48.4191136,48.4191136,44.6945664,44.6945664,44.6945664,89.3891328,93.38179199999999,91.36655999999999,116.448128,274.1744,241.76255999999998,234.78608000000003,146.14976000000001,100.29894000000002
1960,9.746,9.746,9.746,9.746,9.746,9.746,48.729025,48.729025,48.729025,48.729025,51.018916,51.018916,51.018916,51.018916,51.018916,47.094384000000005,47.094384000000005,47.094384000000005,94.18876800000001,96.43620000000001,93.84284,118.20815999999999,277.3163,244.98590000000002,244.07010000000002,153.8221,104.473545
1961,9.537166666666666,9.537166666666666,9.537166666666666,9.537166666666666,9.537166666666666,9.537166666666666,51.14796,51.14796,51.14796,51.14796,52.22195368,52.22195368,52.22195368,52.22195368,52.22195368,48.204880319999994,48.204880319999994,48.204880319999994,96.40976063999999,103.55967600000002,100.86894800000002,127.316656,284.89782,251.23023999999998,248.65906,162.99655,112.4255408
1962,9.825000000000001,9.825000000000001,9.825000000000001,9.825000000000001,9.825000000000001,9.825000000000001,53.248815,53.248815,53.248815,53.248815,53.7526392,53.7526392,53.7526392,53.7526392,53.7526392,49.6178208,49.6178208,49.6178208,99.2356416,111.69264,108.8956,137.73536,294.4326,259.2287,254.88754,173.74394,121.56081800000001
1963,10.331000000000001,10.331000000000001,10.331000000000001,10.331000000000001,10.331000000000001,10.331000000000001,55.03389,55.03389,55.03389,55.03389,55.23911952000001,55.23911952000001,55.23911952000001,55.23911952000001,55.23911952000001,50.989956480000004,50.989956480000004,50.989956480000004,101.97991296000001,120.17246399999999,117.264032,148.596224,303.77398000000005,266.98686,260.71404,184.7905,131.0636622
1964,11.064833333333333,11.064833333333333,11.064833333333333,11.064833333333333,11.064833333333333,11.064833333333333,56.40684,56.40684,56.40684,56.40684,56.618802239999994,56.618802239999994,56.618802239999994,56.618802239999994,56.618802239999994,52.26350976,52.26350976,52.26350976,104.52701952,128.84596799999997,125.82462399999999,159.709248,312.56636000000003,274.19142,265.83164,195.90436,140.7659404
